"#","Reference","Qty","Value","Footprint","DNP"
"1","AE1","1","Antenna_Shield","Connector_Coaxial:SMA_Amphenol_901-144_Vertical",""
"2","C1","1","C","Capacitor_SMD:C_0805_2012Metric",""
"3","J1","1","Raspberry PI Header","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
"4","J2","1","Display","ARO_Footprints:OLED_0,96_II",""
"5","J3","1","BME280","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"6","JP1, JP2","2","SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm",""
"7","R1, R2, R3, R4, R5","5","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"8","R6, R7","2","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"9","SW1, SW2, SW3, SW4, SW5","5","SW_Push","Button_Switch_THT:SW_PUSH_6mm_H5mm",""
"10","U1","1","RA-01","RF_Module:Ai-Thinker-Ra-01-LoRa",""
